audio_id	source_filename	source_relative_path	youtube_video_id	file_size_mb	duration_seconds	sample_rate_hz	channels	imported_at
audio-0291	0291 - This Is Queen - Another One Bites The Dust (Remastered 2011) [1tLYYSofs3U].webm	0291 - This Is Queen - Another One Bites The Dust (Remastered 2011) [1tLYYSofs3U].webm	1tLYYSofs3U	3.267301559448242	214.72654166666663	48000	2	2026-09-09 04:09:56
audio-0292	0292 - Of Monsters and Men - Of Monsters and Men - Love Love Love (Official Lyric Video) [beiPP_MGz6I].webm	0292 - Of Monsters and Men - Of Monsters and Men - Love Love Love (Official Lyric Video) [beiPP_MGz6I].webm	beiPP_MGz6I	3.709409713745117	235.64772916666664	48000	2	2026-09-09 04:09:57
audio-0293	0293 - Sting - Sting - Englishman In New York [d27gTrPPAyk].webm	0293 - Sting - Sting - Englishman In New York [d27gTrPPAyk].webm	d27gTrPPAyk	4.496007919311523	266.5999166666667	48000	2	2026-09-09 04:09:57
audio-0294	0294 - RHINO - America - A Horse With No Name (Official Audio) [na47wMFfQCo].webm	0294 - RHINO - America - A Horse With No Name (Official Audio) [na47wMFfQCo].webm	na47wMFfQCo	3.972238540649414	251.50695833333333	48000	2	2026-09-09 04:09:57
audio-0295	0295 - RHINO - B.B. King - The Thrill Is Gone [Crossroads 2010] (Official Live Video) [SgXSomPE_FY].webm	0295 - RHINO - B.B. King - The Thrill Is Gone [Crossroads 2010] (Official Live Video) [SgXSomPE_FY].webm	SgXSomPE_FY	10.673135757446287	665.6696666666667	48000	2	2026-09-09 04:09:57
audio-0296	0296 - First Aid Kit - First Aid Kit - Wolf (Official Music Video) [Czj7SyPNRto].webm	0296 - First Aid Kit - First Aid Kit - Wolf (Official Music Video) [Czj7SyPNRto].webm	Czj7SyPNRto	3.5247373580932617	220.20266666666663	48000	2	2026-09-09 04:09:57
audio-0297	0297 - Pink Floyd - Pink Floyd - Another Brick In The Wall, Part Two (Official Music Video) [HrxX9TBj2zY].webm	0297 - Pink Floyd - Pink Floyd - Another Brick In The Wall, Part Two (Official Music Video) [HrxX9TBj2zY].webm	HrxX9TBj2zY	3.0806474685668945	198.49579166666663	48000	2	2026-09-09 04:09:58
audio-0298	0298 - Fueled By Ramen - twenty one pilots： Stressed Out [OFFICIAL VIDEO] [pXRviuL6vMY].webm	0298 - Fueled By Ramen - twenty one pilots： Stressed Out [OFFICIAL VIDEO] [pXRviuL6vMY].webm	pXRviuL6vMY	3.392841339111328	225.2335625	48000	2	2026-09-09 04:09:58
audio-0299	0299 - Dire Straits - Dire Straits - Once Upon A Time In The West (Visualiser) [KIa56_PHorE].webm	0299 - Dire Straits - Dire Straits - Once Upon A Time In The West (Visualiser) [KIa56_PHorE].webm	KIa56_PHorE	5.370061874389648	324.08091666666667	48000	2	2026-09-09 04:09:58
audio-0301	0301 - Black Sabbath - Paranoid (2009 - Remaster) [Yt34nx75v94].webm	0301 - Black Sabbath - Paranoid (2009 - Remaster) [Yt34nx75v94].webm	Yt34nx75v94	2.5940446853637695	168.62658333333334	48000	2	2026-09-09 04:09:58
