lyrics_id,lyrics_text
lyrics-000807,"Can you see it?
There's something in the light that's twinkling low
Can you hear it?
The crackling of my bones like a beating drum
Are you with it?
Everybody's grooving to the same old song
I am with it
I am with you now
I am with you now

Can you see it?
There's something in the light that's twinkling low
Can you hear it?
The crackling of my bones like a beating drum
Are you with it?
Everybody's grooving to the same old song
I am with it
I am with you now
I am with you now

Can you hear it?
The crackling of my bones like a beating drum
Are you with it?
Everybody's grooving to the same old song
I am with it
I am with you now
I am with you
I am with you
I am with you

(I am with you)
(I am with you)
(I am with you)
(I am with you)

Are you with it?
Everybody's moving to the same old song"
lyrics-000808,"My Boat, sweet anger, sweet salvage, Cast anchor upon my fingers.
We'll travel but linger.
On thougts, the coasts of past hopes, eroded with tears, teardrops.

We'll take it slow or to the tempo of the shadows. Pretend to be lost in the world of clef notes.
me and My Boat.

You've got no sails, you won't give in to the winds. As far as eyes can tell. You indulge my every whim. Each stroke soaked in passion.

Ref :
My Boat, sweet anger, sweet salvage, Cast anchor upon my fingers.
We'll travel but linger.
On thougts, the coasts of past hopes, eroded with tears, teardrops.

We'll take it slow or to the tempo of the shadows. Pretend to be lost in the world of clef notes.
me and My Boat.

Et dans mes voyages musicaux je rêve de long en large. Enfouie dans mon bateau. Accroupie, enivree entre les cordes de vynile. Admirant le beau paysage, le gros paysage. Paysage en clé de sol.

Ref :
My Boat, sweet anger, sweet salvage, Cast anchor upon my fingers.

We'll travel but linger.
On thougts, the coasts of past hopes, eroded with tears, teardrops.

We'll take it slow or to the tempo of the shadows. Pretend to be lost in the world of clef notes.
me and My Boat."
lyrics-000809,"I was a child then, as I guess I still am now
I wrote you letters you could not read
And if I ever die, as I eventually will do
I'll see you on the burning street

We went to wales, oh
On a sailboat
In a lightning storm
She covered up my face, wooh
Not to hide me up
But to keep me warm

We went to wales, oh
On a sailboat
In a lightning storm
She covered up my face, wooh
Not to hide me up
But to keep me warm

I stayed up counting stars, and hungering for you
To find out what the kid was named
And in the lonely dark that always precedes you
I was the secret in your game

We went to wales, oh
On a sailboat
In a lightning storm
She covered up my face, wooh
Not to hide me up
But to keep me warm

We went to wales, oh
On a sailboat
In a lightning storm
She covered up my face, wooh
Not to hide me up
But to keep me warm

Beneath our storm
Like she's always done
Like she's always done
Like she's always done

Like she's always done
Like she's always done
Like she's always done

We went to wales, oh
On a sailboat
In a lightning storm
She covered up my face, wooh
Not to hide me up
But to keep me warm"
lyrics-000810,"Eins, zwei

Stell dir vor, du wärst ein Stein im Meer
Und niemand würd dich fragen, ob du einsam wärst
Da unten blieb alles, wie es schon immer war
Was hier oben passiert, wär dir egal
Ich war schon immer was zwischen Engel und Tier
Ich sitz' an der Bar, was kann ich dafür
Dass die Welt nicht so ist, wie sie gern wär?
Oh, ich trink' wie ein Stein und die Nacht wird zum Meer

Das ist alles, was mein Herz noch von mir weiß
Bin ich jetzt auch hier allein?
Das ist alles, was mein Herz noch von mir weiß
Bin ich jеtzt auch hier allein?

Oh, ich kann kaum noch steh'n, doch diе Nacht ist noch lang
Ich gehe vor die Tür, schau' mir die Leute an
Sie fliegen durch die Straßen wie die Blätter im Wind
Und ich frage mich, wo all die Bäume sind
Heute bin ich zum Fliegen zu schwer
Also geh' ich immer weiter und komm' nicht näher
Die Stadt hört nicht auf, warum bin ich so klein?
Oh, der Wind wird zum Sturm und das Meer ist aus Stein

Das ist alles, was mein Herz noch von mir weiß
Bin ich jetzt auch hier allein?
Das ist alles, was mein Herz noch von mir weiß
Bin ich jetzt auch hier allein?

Hmm, hm-hm
Hmm, hm-hm
Hmm, hm-hm
Hmm, hm-hm
Hmm, hm-hm
Hmm, hm-hm
Hmm, hm-hm
Hmm, hm-hm

Ohh, das ist alles, was mein Herz noch von mir weiß
Bin ich jetzt auch hier allein?
Das ist alles, was mein Herz noch von mir weiß
Bin ich jetzt auch hier allein?
Das ist alles, was mein Herz noch von mir weiß
Bin ich jetzt auch hier allein?
Das ist alles, was mein Herz noch von mir weiß
Bin ich jetzt auch hier allein?"
lyrics-000811,"It’s all a mystery
Do you think I’m lost at sea?
Go fix me up another from above

This is not my confession
Come stand by me
I’m never gonna see down here again

That’s not me
Standing there, in the light
Put it on for the night
Yeah, I’m the performer
Stand on stage
Not another night
Not another night

Yeah, we’ve all been here before
A (?) through the mind my friends
It doesn’t really matter what they say at all
‘Cause the fear pushing me back to
Where I left off before
You'll never see me
See me again

That’s not me
Standing there, in the light
Put it on for the night
Yeah, I’m the performer
Stand on stage
Not another night
Not another night

I’m the performer
Can’t you see?
No spectator
What you know about me?
Won't you look at me?"
lyrics-000812,"The further I go on the road
The more I've seen you in the pain
And from your pain that I've seen
Rise all these feelings in me
I can't take no more
On I go and try to ignore them
Do some other random shit and
There's nothing wrong, I'm just okay

No matter how it feels like
No matter what I feel

All the blood that runs
While this show is still on
I try not to see while I'm having fun
Take my eyes away
And it's gonna be alright
The more your pain I ignore
The less of human’s in me

The further I go on the road
The more I learn to ignore myself
And all your pain that I feel
Is way too much over the top so
I pretend it's fine
But I know it's just not to show
I'm not sure I know, how long I can go

You can run, but you can't hide
There's no turning away
No matter how hard you've tried
I'm so sorry to say

All the blood that runs
While the show is still on
I try to not to see
It's getting hard not to do so
Take your eyes away
Than it must be alright
The less your pain I ignore
The more of human’s in me

You can get through life
And wait for the time to decide
Your way of how you go by
Before you die, say goodbye!

All the blood that runs
While this show is still on
Those who bleed the most
Are the ones, that are weak
You can call your mum
Hope it's gonna be alright
Running out of time"
lyrics-000813,"Look to the sky, way up on high
There in the night stars are now right
Eons have passed: now then at last
Prison walls break, Old Ones awake!
They will return: mankind will learn
New kinds of fear when they are here
They will reclaim all in their name
Hopes turn to black when they come back
Ignorant fools, mankind now rules
Where they ruled then: it's theirs again
Stars brightly burning, boiling and churning
Bode a returning season of doom
Scary scary scary scary solstice
Very very very scary solstice
Up from the sea, from underground
Down from the sky, they're all around
They will return: mankind will learn
New kinds of fear when they are here
Look to the sky, way up on high
There in the night stars are now right
Eons have passed: now then at last
Prison walls break, Old Ones awake!
Madness will reign, terror and pain
Woes without end where they extend
Ignorant fools, mankind now rules
Where they ruled then: it's theirs again
Stars brightly burning, boiling and churning
Bode a returning season of doom
Scary scary scary scary solstice
Very very very scary solstice
Up from the sea, from underground
Down from the sky, they're all around
(Fear)
Look to the sky, way up on high
There in the night stars now are right
They will return"
lyrics-000814,"Ajai Alai Abhai Abai Abhoo Ajoo Anaas Akaas
Aganj Abhanj Alakkh Abhakkh Akaal Dyaal Alaykh Abhaykh
Anaam Akaam Agaaha Adhaaha
Anaathay Pramaathay Ajonee Amonee
Na Raagay Na Rangay Na Roopay Na Raykhay
Akarmang Abharmang Aganjay Alaykhay"
lyrics-000815,"Щедрик щедрик щедрівочка
Прилетіла ластівочка
Стала собі щебетати
Господаря викликати

Вийди вийди господарю
Подивися на кошару
Там овечки покотились
А ягнички народились

Щедрик щедрик щедрівочка
Прилетіла ластівочка

Вийди вийди господарю
Подивися на кошару
Там овечки покотились
А ягнички народились

В тебе товар весь хороший
Будеш мати мірку грошей
В тебе товар весь хороший
Будеш мати мірку грошей

Щедрик щедрик щедрівочка
Прилетіла ластівочка
Щедрик щедрик щедрівочка
Прилетіла ластівочка

Хоч не гроші то полова
В тебе жінка чорноброва

Щедрик щедрик щедрівочка
Прилетіла ластівочка
Стала собі щебетати
Господаря викликати

Вийди вийди господарю
Подивися на кошару
Там овечки покотились
А ягнички народились

Щедрик щедрик щедрівочка
Прилетіла ластівочка
Щедрик щедрик щедрівочка
Прилетіла ластівочка
Щедрик щедрик щедрівочка
Щедрівочка"
lyrics-000816,Om Mani padme hum.
