dokument_kod	dokument_plik	dokument_tytul	url_stabilny	poziom	glebokosc	kolejnosc	sekcja_tytul	anchor	anchor_status	deep_link
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H2	2	16	Rozdział 15. Mapa aktorów i ryzyka krytyczne	mapa-aktorow-ryzyka-krytyczne	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#mapa-aktorow-ryzyka-krytyczne
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H2	2	17	Rozdział 16. Hanza 2.0 — porządek bez architekta	hanza-2-0	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#hanza-2-0
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H2	2	18	Rozdział 17. Od Ormuzu do panelu — struktura, szok i substytucja	od-ormuzu-do-panelu	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#od-ormuzu-do-panelu
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H2	2	19	Rozdział 18. Monopole i topologia władzy	monopole-topologia-wladzy	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#monopole-topologia-wladzy
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H2	2	20	Rozdział 19. Disinfolklore i Dark Legitimacy — trucizna i ciemna strona	disinfolklore-dark-legitimacy	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#disinfolklore-dark-legitimacy
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H2	2	21	Rozdział 20. Źródła, etyka i granice poznania	zrodla-etyka-granice-poznania	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#zrodla-etyka-granice-poznania
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H2	2	22	Rozdział 21. Steelmanning systemu — Chiny, inercja, zmęczenie Zachodu	steelmanning-systemu	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#steelmanning-systemu
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H2	2	23	Rozdział 22. Disinfolklore pod lupą — SWOT i przesłuchanie sądowe	disinfolklore-swot-przesluchanie	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#disinfolklore-swot-przesluchanie
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	Kolumbryna — Wielka analiza systemowa · v3.5 · 31 marca 2026	https://maciektora-hue.github.io/rosja/kolumbryna/	H2	2	24	Rozdział 23. Zrewidowana konkluzja — mapa, nie GPS	zrewidowana-konkluzja	OK	https://maciektora-hue.github.io/rosja/kolumbryna/#zrewidowana-konkluzja
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H1	1	1	maj 2026. gradually stalo sie suddenly	gradually-stalo-sie-suddenly	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#gradually-stalo-sie-suddenly
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H2	2	2	I. Wstęp — co się zmieniło od daty Kolumbryny	wstep-jakosciowa-zmiana	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#wstep-jakosciowa-zmiana
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	3	Zmiana ilościowa — więcej tego samego, ale wykładniczo	zmiana-ilosciowa	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#zmiana-ilosciowa
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	4	Zmiana jakościowa — każdy aspekt wymagał osobnego rozdziału	zmiana-jakosciowa	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#zmiana-jakosciowa
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H6	6	5	Dokument o tym, jak dokument przestał być tym, czym miał być	dokument-o-dokumencie	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#dokument-o-dokumencie
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H2	2	6	II. Lista uderzeń — okresy dwutygodniowe, od maja tygodniowe	lista-uderzen	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#lista-uderzen
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H2	2	7	III. Nota metodologiczna — wnioskowanie przy braku danych	nota-metodologiczna	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#nota-metodologiczna
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H2	2	8	IV. Galeria celów — analiza najciekawszych uderzeń	galeria-celow	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#galeria-celow
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	9	Cele niekinetyczne — sygnał, doktryna, dekapitacja	cele-niekinetyczne	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#cele-niekinetyczne
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H2	2	10	V. Krym jako efekt uboczny — geometria likwidacji	krym-efekt-uboczny	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#krym-efekt-uboczny
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	11	Trzy wektory zaopatrzenia	trzy-wektory	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#trzy-wektory
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	12	Usunięcie cywilów z R-280 — koncesja, nie zarządzanie	r280-tarcza	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#r280-tarcza
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H6	6	13	Dekret jest mimowolnym przyznaniem, że dron pokonał tarczę	dekret-dron-tarcza	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#dekret-dron-tarcza
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	14	Most jako przynęta — dlaczego kolejność jest wymuszona	most-przyneta	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#most-przyneta
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	15	Most kerczeński na poziomie meta — wcześniej, na deser, czy ciągłe ciśnienie (i dlaczego to już poker, nie szachy)	most-poker-meta	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#most-poker-meta
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	16	Dlaczego port krymski nie wymaga ani jednego drona	krym-darmowy	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#krym-darmowy
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	17	Drugi koniec łańcucha na obu morzach — rejestr portów rosyjskich i okupowanych (bez Krymu)	morza-drugi-koniec	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#morza-drugi-koniec
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H4	4	18	Morze Czarne — rosyjskie wybrzeże Krasnodarskiego	morza-czarne	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#morza-czarne
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H4	4	19	Morze Azowskie — rosyjskie wybrzeże	morza-azowskie-ru	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#morza-azowskie-ru
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H4	4	20	Morze Azowskie — porty okupowane (Mariupol, Berdiańsk)	morza-azowskie-okup	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#morza-azowskie-okup
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	21	Krym przekształca się z półwyspu w wyspę	krym-wyspa	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#krym-wyspa
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	22	Powolne odcinanie Krymu od prądu — czwarty wektor, ukryty w gąszczu	krym-odcinanie-pradu	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#krym-odcinanie-pradu
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	23	Materialny wynik — kupony na paliwo na Krymie	krym-kupony	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#krym-kupony
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H6	6	24	Krym nie jest osobnym teatrem — jest efektem zewnętrznym	krym-efekt-zewnetrzny	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#krym-efekt-zewnetrzny
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H6	6	25	Wątki kontynuowane w innych sekcjach	krym-watki-kontynuowane	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#krym-watki-kontynuowane
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H2	2	26	VI. Ewolucja typologii celów — co się dywersyfikuje	ewolucja-typologii	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#ewolucja-typologii
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	27	Matryca 1: kategorie funkcjonalne celów	matryca-kategorie	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#matryca-kategorie
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	28	Matryca 2: wektory geograficzne	matryca-geograficzna	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#matryca-geograficzna
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	29	Synteza ewolucyjna — co się zmieniło między okresami	synteza-ewolucyjna	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#synteza-ewolucyjna
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	30	Syntetyczne obserwacje (od 04.01.2026)	syntetyczne-obserwacje	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#syntetyczne-obserwacje
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	31	Front Olexandrivka — terytorium jako nowa kategoria celu	front-olexandrivka	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#front-olexandrivka
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H6	6	32	Dlaczego front Olexandrivka wpisuje się w to opracowanie	front-olexandrivka-uzasadnienie	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#front-olexandrivka-uzasadnienie
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H2	2	33	VII. Budanov — gramatyka rozkładu i przebudowy	budanov-gramatyka	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#budanov-gramatyka
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	34	"Od „zwycięstwa"" do „jedności"" — czytanie przez przemilczenia"	budanov-negative-space	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#budanov-negative-space
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H6	6	35	"Negative space jako metoda — i jako lustro do „czterech trybów"""	negative-space-metoda	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#negative-space-metoda
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H6	6	36	Punkt zwrotny nazwany cztery lata za wcześnie — kalibracja przez własny track record	punkt-zwrotny-za-wczesnie	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#punkt-zwrotny-za-wczesnie
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	37	Jednoczesność sprzeczności — logika nieliniowa	budanov-nieliniowa	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#budanov-nieliniowa
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H6	6	38	Stoicyzm jako maska operacyjna	stoicyzm-maska-operacyjna	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#stoicyzm-maska-operacyjna
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	39	Znać reguły a rozumieć reguły	budanov-regfrom	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#budanov-regfrom
